no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,,,Taruna Bangsa,,,SD,,,,,,,,,50,48,48,40,61,45,,,,,,,,,
,,,ISR,,,SD,,,,,,,,,75,65,71,64,59,71,,,,,,,,,
,,,Marsudirini Cor Jesu,,,SD,,,,,,,,,40,36,31,66,57,57,,,,,,,,,
,,,Marsudirini BSB,,,SD,,,,,,,,,70,66,66,60,54,58,,,,,,,,,
,,,Marsudirini Pemuda,,,SD,,,,,,,,,48,41,75,55,73,90,,,,,,,,,
,,,Charitas Bida Ayu,,,SD,,,,,,,,,52,-,17,23,23,27,,,,,,,,,
,,,Charitas Sukajadi,,,SD,,,,,,,,,35,36,30,31,38,30,,,,,,,,,
,,,Telkom Batam,,,SD,,,,,,,,,90,89,68,68,45,59,,,,,,,,,
,,,St. Paulus Sunter,,,SMP,,,,,,,,,,,,,,,75,56,71,,,,,,
,,,Charitas Bida Ayu,,,SMP,,,,,,,,,,,,,,,75,-,11,,,,,,
,,,Charitas Sukajadi,,,SMP,,,,,,,,,,,,,,,40,64,35,,,,,,
,,,BPK Penabur Sentul,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,BPK Penabur Bogor,,,TK,,,,,,,,,55,57,50,54,60,53,110,110,97,,,,,,
,,,BPK Penabur Cianjur,,,TK,,,,,,,,,30,24,37,13,19,26,,,,,,,,,
,,,Bethel Jakarta,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Bethel Jakarta,,,SD,,,,,,,,,20,20,20,15,20,15,,,,,,,,,
,,,BPK Penabur Bogor,,,SD,,,,,,,,,60,60,52,56,60,55,,,,,,,,,
,,,BPK Penabur Cianjur,,,SD,,,,,,,,,30,29,37,13,41,26,,,,,,,,,
,,,Taruna Bakti Bandung,,,SD,,,,,,,,,125,118,110,84,81,79,,,,,,,,,
,,,Charitas 1 Blitang,,,SD,,,,,,,,,40,35,36,35,37,36,,,,,,,,,
,,,Charitas 2 Blitang,,,SD,,,,,,,,,20,12,17,13,15,21,,,,,,,,,
,,,BPK Penabur Sentul,,,SMP,,,,,,,,,,,,,,,40,34,37,,,,,,
,,,BPK Penabur Bogor,,,SMP,,,,,,,,,,,,,,,110,110,97,,,,,,
,,,BPK Penabur Cianjur,,,SMP,,,,,,,,,,,,,,,40,40,35,,,,,,
,,,Bethel Jakarta,,,SMP,,,,,,,,,,,,,,,122,86,88,,,,,,
,,,Xaverius Teluk Betung,,,SMP,,,,,,,,,,,,,,,90,86,88,,,,,,
,,,Charitas 1 Blitang,,,SMP,,,,,,,,,,,,,,,65,62,56,,,,,,
,,,Charitas 2 Blitang,,,SMP,,,,,,,,,,,,,,,35,35,16,,,,,,
,,,BPK Penabur Cianjur,,,SMA,,,,,,,,,,,,,,,,,,40,40,40,,,
,,,Bethel Jakarta,,,SMA,,,,,,,,,,,,,,,,,,,,,,,
,,,Bethel Jakarta,,,SMK,,,,,,,,,,,,,,,,,,,,,,,
,,,Tarakanita Solo Baru,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Stella Maris BSD,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Theresia,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Tarakanita Magelang,,,SD,,,,,,,,,70,65,63,60,74,78,,,,,,,,,
,,,Tarakanita Solo Baru,,,SD,,,,,,,,,60,54,60,54,70,69,,,,,,,,,
,,,Joanes Bosco Jogja,,,SD,,,,,,,,,85,67,61,68,67,84,,,,,,,,,
,,,Marsudirini Jogja,,,SD,,,,,,,,,50,45,77,70,78,71,,,,,,,,,
,,,Bellarminus Bekasi,,,SD,,,,,,,,,80,73,71,53,74,78,,,,,,,,,
,,,Stella Maris BSD,,,SD,,,,,,,,,80,80,64,53,57,71,,,,,,,,,
,,,Jaya Monthessori,,,SD,,,,,,,,,35,25,22,32,25,34,,,,,,,,,
,,,Xaverius 1 Jambi,,,SD,,,,,,,,,170,168,171,155,156,165,,,,,,,,,
